,Stations,Address,lat,lng
61,PARRAMATTA Fire Station,"110-114 Wigram Street, Harris Park (Parramatta) NSW 2150",-33.819826,151.0089241
62,RYDALMERE Fire Station,"75 Park Road, Rydalmere NSW 2116",-33.8102092,151.0424504
63,RYDE Fire Station,"216 - 218 Blaxland Road, Ryde NSW 2112",-33.8091591,151.1055573
64,SMITHFIELD Fire Station,"875 The Horsley Drive, Smithfield - Fire Station NSW 2164",-33.850687,150.9224776
65,WENTWORTHVILLE Fire Station,"6 Garfield Street, Wentworthville NSW 2145",-33.808375,150.9700404
66,BLACKHEATH Fire Station,"223-225 Great Western Highway, Blackheath NSW 2785",-33.6366962,150.2853335
67,GLENBROOK Fire Station,"21 Wascoe Street, Glenbrook NSW 2773",-33.7640576,150.6163885
68,KATOOMBA Fire Station,"14 Cascade Street, Katoomba NSW 2780",-33.7119846,150.3096612
69,LAWSON Fire Station,"306-307 Great Western Highway, Lawson NSW 2783",-33.7214953,150.426909
70,LEURA Fire Station,"194-196 The Mall, Leura NSW 2780",-33.7144414,150.3310079
71,LITHGOW Fire Station,"58 Cook Street, Lithgow NSW 2790",-33.4817285,150.1572696
72,LITHGOW WEST Fire Station,"36 Rabaul Street, Lithgow  (Lithgow West) NSW 2790",-33.4947691,150.1387615
73,MT. VICTORIA Fire Station,"31-33 Montgomery Street, Mount Victoria NSW 2786",-33.5883857,150.2533586
74,PORTLAND Fire Station,"69 Williwa Street, Portland NSW 2847",-33.353849,149.9844671
75,RICHMOND Fire Station,"43 March St, Richmond NSW 2753",-33.6000327,150.7543694
76,SPRINGWOOD Fire Station,"282 Macquarie Street, Springwood NSW 2777",-33.7003146,150.5630463
77,WALLERAWANG Fire Station,"1 Cripps Avenue, Wallerawang NSW 2845",-33.410625,150.0671832
78,WENTWORTH FALLS Fire Station,"3 Cascade Street, Wentworth Falls NSW 2782",-33.710209,150.3718842
79,WINDSOR Fire Station,"1 Anderson Place, South Windsor NSW 2756",-33.6212279,150.8075864
80,BELMONT Fire Station,"635 Pacific Highway, Belmont NSW 2280",-33.038055,151.659789
81,CARDIFF Fire Station,"18 Taylor Street, Cardiff NSW 2285",-32.9377182,151.6585993
82,CARRINGTON Fire Station,"49 - 51 Young Street, Carrington NSW 2294",-32.9123693,151.7646066
83,CHARLESTOWN Fire Station,"3 Charles Street, Charlestown NSW 2290",-32.9673379,151.6961351
84,LAMBTON Fire Station,"40 Young Road, Lambton NSW 2299",-32.9160164,151.7209351
85,MAYFIELD WEST Fire Station,"91 Industrial Drive, Mayfield West NSW 2304",-32.8858154,151.7282662
86,MEREWETHER Fire Station,"39 Llewellyn Street, Merewether NSW 2291",-32.94225730000001,151.7511066
87,MINMI Fire Station,"20 Woodford Street, Minmi NSW 2287",-32.8727661,151.6190906
88,MORISSET Fire Station,"68 Newcastle Street, Morisset NSW 2264",-33.1077732,151.4848889
89,NEWCASTLE Fire Station,"44 Union Street, Newcastle NSW 2300",-32.9297926,151.7663884
90,STOCKTON Fire Station,"36 Hereford Street, Stockton NSW 2295",-32.9080573,151.7841848
91,SWANSEA Fire Station,"10 Lake Road, Swansea NSW 2281",-33.0895879,151.6367986
92,TARRO Fire Station,"8 Eastern Avenue, Tarro NSW 2322",-32.809788,151.663252
93,TERALBA Fire Station,"54 William Street, Teralba NSW 2284",-32.9629485,151.604525
94,TINGIRA HEIGHTS Fire Station,"70 Violet Town Road, Tingira Heights NSW 2290",-32.999919,151.667916
95,TORONTO Fire Station,"42 Mount Waring Road, Toronto NSW 2283",-33.0188105,151.5858348
96,WALLSEND Fire Station,"15 Summerhill Rd, Wallsend NSW 2287",-32.8879396,151.6560335
97,WANGI WANGI Fire Station,"26 Donnelly Road, Arcadia Vale NSW 2283",-33.0641734,151.578084
98,HOLMESVILLE Fire Station,"56 Appletree Rd, Holmesville NSW 2286",-32.9172147,151.5809971
99,BATEAU BAY Fire Station,"4 Community Drive, Bateau Bay NSW 2261",-33.372353,151.4730531
100,BERKELEY VALE Fire Station,"8 Craftsman Avenue, Berkeley Vale NSW 2261",-33.3274914,151.4229831
101,BUDGEWOI Fire Station,"80 Scenic Drive, Budgewoi NSW 2262",-33.2348815,151.5555103
102,DOYALSON Fire Station,"51-53 Pacific Highway, Doyalson NSW 2262",-33.1981497,151.5232418
103,GOSFORD Fire Station,"12 Brougham Street, Gosford (East) NSW 2250",-33.4388723,151.3556089
104,HAMLYN TERRACE Fire Station,"48 Minnesota Road, Hamlyn Terrace NSW 2259",-33.248841,151.4679533
105,KARIONG Fire Station,"1 Central Coast Highway, Kariong NSW 2250",-33.4332614,151.2965542
106,SARATOGA Fire Station,"2 Rosemount Street, Saratoga NSW 2251",-33.4761782,151.3521225
107,TERRIGAL Fire Station,"7 Terrigal Drive, Terrigal NSW 2260",-33.4397445,151.4373003
108,THE ENTRANCE Fire Station,"24 Boondilla Road, The Entrance NSW 2261",-33.3490101,151.4956991
109,TOUKLEY Fire Station,"302 Main Road, Toukley NSW 2263",-33.2639814,151.5446505
110,UMINA Fire Station,"55-59 Trafalgar Ave, Umina NSW 2256",-33.5043988,151.3241522
111,WYOMING Fire Station,"2 Laycock Street, Wyoming NSW 2250",-33.4100498,151.3499397
112,WYONG Fire Station,"5 Hely Street, Wyong NSW 2259",-33.2829825,151.4243737
113,KINCUMBER Fire Station,"836 The Scenic Rd, Kincumber NSW 2251",-33.4791736,151.3990024
114,ABERMAIN Fire Station,"Cnr Cessnock Road & Charles Street, Abermain NSW 2326",-32.8109231,151.4323101
115,BELLBIRD Fire Station,"44 Ruby Street, Bellbird NSW 2325",-32.8550446,151.3206109
116,BRANXTON GRETA Fire Station,"2a Drinan Street, Branxton NSW 2335",-32.6585352,151.3522399
117,CESSNOCK Fire Station,"4 Edward Street, Cessnock NSW 2325",-32.8334977,151.3575042
118,DUNGOG Fire Station,"78 Lord Street, Dungog NSW 2420",-32.4032764,151.7545232
119,EAST MAITLAND Fire Station,"Cnr Chelmsford Drive & Newcastle Street, East Maitland (Metford) NSW 2323",-32.7645032,151.6032426
120,KEARSLEY Fire Station,"26 Allandale Street, Kearsley NSW 2325",-32.8580019,151.3958796
121,KURRI KURRI Fire Station,"119 Lang Street, Kurri Kurri NSW 2327",-32.8167943,151.4835661
122,MAITLAND Fire Station,"14 Church Street, Maitland NSW 2320",-32.7323648,151.5531552
123,MORPETH Fire Station,"169 Swan Street, Morpeth NSW 2321",-32.7252817,151.6240276
124,SALAMANDER BAY Fire Station,"194 Salamander way, Salamander Bay NSW 2317",-32.7384114,152.1123131
125,PAXTON Fire Station,"3 Standford Street, Paxton NSW 2327",-32.9022339,151.2819534
126,RAYMOND TERRACE Fire Station,"3-5 Leisure Way, Raymond Terrace NSW 2324",-32.758421,151.78241
127,RUTHERFORD Fire Station,"2 Mustang Drive, Rutherford NSW 2320",-32.7046395,151.5087225
128,ALBION PARK Fire Station,"3 Russell Street, Albion Park NSW 2527",-34.5730096,150.7740595
129,BALGOWNIE Fire Station,"117 Balgownie Road, Balgownie NSW 2519",-34.38896160000001,150.8790639
130,BULLI Fire Station,"325-327 Princes Highway, Bulli NSW 2516",-34.3387327,150.9095652
131,COLEDALE Fire Station,"759 Lawrence Hargrave Drive, Coledale NSW 2513",-34.2925225,150.9444839
132,CORRIMAL Fire Station,"120 Princes Highway, Corrimal NSW 2518",-34.3686044,150.8980803
133,DAPTO Fire Station,"88 Byamee Street, Dapto NSW 2530",-34.4951031,150.7975107
134,HELENSBURGH Fire Station,"91 Walker Street, Helensburgh NSW 2508",-34.1971662,150.981126
135,KIAMA Fire Station,"210 Terralong Street, Kiama NSW 2533",-34.6658144,150.8468982
136,SCARBOROUGH Fire Station,"Wilson Street, Scarborough NSW 2511",-34.2714694,150.959392
137,SHELLHARBOUR Fire Station,"Wattle Road, Shellharbour NSW 2529",-34.5795873,150.8544016
138,THIRROUL Fire Station,"240 Lawrence Hargrave Drive, Thirroul NSW 2515",-34.3143064,150.9251677
139,UNANDERRA Fire Station,"80 Central Road, Unanderra NSW 2526",-34.4511852,150.843196
140,WARRAWONG Fire Station,"48-50 King Street, Warrawong NSW 2502",-34.4841425,150.8870965
141,WOLLONGONG Fire Station,"32-36 Denison Street, Wollongong NSW 2500",-34.424896,150.8874607
142,ARNCLIFFE Fire Station,"100-106 West Botany Street, Arncliffe NSW 2205",-33.9399605,151.1517938
143,BOTANY Fire Station,"3 Banksia Street, Botany NSW 2019",-33.9447328,151.1973586
144,BUNDEENA Fire Station,"48 Bundeena Drive, Bundeena NSW 2230",-34.0841606,151.1452049
