,Stations,Address,lat,lng
267,GUYRA Fire Station,"73 Ollera Street, Guyra NSW 2365",-30.2165245,151.6702655
268,INVERELL Fire Station,"59 Evans Street, Inverell NSW 2360",-29.7746819,151.1149478
269,MANILLA Fire Station,"Strafford St, Manilla NSW 2346",-30.7463088,150.7247101
270,MOREE Fire Station,"179 Balo Street, Moree NSW 2400",-29.4656255,149.8412678
271,NARRABRI Fire Station,"2 Doyle Street, Narrabri NSW 2390",-30.324721,149.783699
272,QUIRINDI Fire Station,"3 Dalley Street, Quirindi NSW 2343",-31.5040741,150.6796663
273,TAMWORTH Fire Station,"103 Carthage Street, Tamworth NSW 2340",-31.0883892,150.9335921
274,TENTERFIELD Fire Station,"125 Logan Street, Tenterfield NSW 2372",-29.0556092,152.021216
275,URALLA Fire Station,"28 Salisbury St, Uralla NSW 2358",-30.6440071,151.5001238
276,WALCHA Fire Station,"9W Hamilton Street, Walcha NSW 2354",-30.9838296,151.5924754
277,WARIALDA Fire Station,"19 Geddes Street, Warialda NSW 2402",-29.5428079,150.5720472
278,WEE WAA Fire Station,"56 Rose Street, Wee Waa NSW 2388",-30.2266149,149.4412623
279,WERRIS CREEK Fire Station,"11 Coronation Ave, Werris Creek NSW 2341",-31.3517131,150.6489789
280,SOUTH TAMWORTH Fire Station,"13 The Ringers Road, Hillvue NSW 2340",-31.12686429999999,150.922537
281,BATEMANS BAY Fire Station,"1 Heradale Parade, Batemans Bay NSW 2536",-35.7132694,150.1837151
282,BEGA Fire Station,"114 Gipps Street, Bega NSW 2550",-36.6768575,149.8431156
283,BERRY Fire Station,"26 Prince Alfred Street, Berry NSW 2535",-34.7765102,150.6989931
284,BOMBALA Fire Station,"182-184 Maybe Street, Bombala NSW 2632",-36.9140214,149.2362002
285,BRAIDWOOD Fire Station,"13 Park Lane, Braidwood NSW 2622",-35.44259,149.798971
286,COOMA Fire Station,"84 Massie Street, Cooma NSW 2630",-36.2354024,149.1227654
287,EDEN Fire Station,"30 Mitchell Street, Eden NSW 2551",-37.06408030000001,149.9020879
288,JINDABYNE Fire Station,"10 Thredbo Terrace, Jindabyne NSW 2627",-36.4165576,148.6230334
289,MERIMBULA Fire Station,"17-19 Monaro Street, Merimbula NSW 2548",-36.8902915,149.9087425
290,MORUYA Fire Station,"15 Church Street, Moruya NSW 2537",-35.9094229,150.0821232
291,NAROOMA Fire Station,"3 Clarke Street, Narooma NSW 2546",-36.2209019,150.1336633
292,NOWRA Fire Station,"69 Bridge Road, Nowra NSW 2541",-34.870832,150.6006153
293,PERISHER VALLEY Fire Station,"Kosciusko Road, Perisher Valley NSW 2624",-36.4115727,148.4004275
294,QUEANBEYAN Fire Station,"41 Campbell Street, Queanbeyan NSW 2620",-35.3506743,149.2292222
295,THREDBO Fire Station,"1 Friday Drive, Thredbo Village NSW 2625",-36.4992829,148.31121
296,ULLADULLA Fire Station,"46 Nurrawallee, Ulladulla NSW 2539",-35.3503436,150.4767643
297,SHOALHAVEN Fire Station,"1/34 Norfolk Avenue, Nowra NSW 2541",-34.915158,150.5800271
298,BATLOW Fire Station,"32 Mill Road, Batlow NSW 2730",-35.5227656,148.1488366
299,BOOROWA Fire Station,"70 Pudman Street, Boorowa NSW 2586",-34.4375779,148.7214931
300,BOWRAL Fire Station,"16 Merrigang Street, Bowral NSW 2576",-34.4777126,150.4194357
301,BUNDANOON Fire Station,"15 Anzac Parade, Bundanoon NSW 2578",-34.6566358,150.2974709
302,COOTAMUNDRA Fire Station,"14 - 16 Adams Street, Cootamundra NSW 2590",-34.6359629,148.0280148
303,COWRA Fire Station,"124 Kendall Street, Cowra NSW 2794",-33.8347807,148.6944961
304,CROOKWELL Fire Station,"155 Goulburn Street, Crookwell NSW 2583",-34.4592285,149.4711234
305,FORBES Fire Station,"46 Templar Street, Forbes NSW 2871",-33.3849652,148.0093467
306,GOULBURN Fire Station,"157 - 161 Bourke Street, Goulburn NSW 2580",-34.75167160000001,149.7181866
307,GRENFELL Fire Station,"69 Camp Street, Grenfell NSW 2810",-33.8952535,148.1619313
308,GUNDAGAI Fire Station,"28 Otway Street, Gundagai NSW 2722",-35.0625219,148.1032951
309,HARDEN Fire Station,"141 Albury Street, Harden NSW 2587",-34.5534736,148.3649608
310,MITTAGONG Fire Station,"10 Bowral Road, Mittagong NSW 2575",-34.4514325,150.4470681
311,MOSS VALE Fire Station,"64 Elizabeth Street, Moss Vale NSW 2577",-34.5497835,150.3736199
312,TUMUT Fire Station,"146 Wynyard Street, Tumut NSW 2720",-35.3024417,148.2212133
313,YASS Fire Station,"90 Meehan Street, Yass NSW 2582",-34.8420226,148.9120102
314,YOUNG Fire Station,"34 Lynch Street, Young NSW 2594",-34.3127311,148.2983783
315,ALBURY CENTRAL Fire Station,"817 - 821 Mate Street, Albury Central (Albury North) NSW 2640",-36.0659559,146.930641
316,ALBURY CIVIC Fire Station,"565 Kiewa Street, Albury Civic NSW 2640",-36.0771278,146.9160892
317,NORTH ALBURY Fire Station,"596 Nagle Road, Lavington NSW 2641",-36.0352516,146.9575478
318,BARHAM Fire Station,"40 Wakool Street, Barham NSW 2732",-35.6279793,144.129738
319,BERRIGAN Fire Station,"7 Cobram Road, Berrigan NSW 2712",-35.65818,145.8093276
320,COROWA Fire Station,"57 Riesling Street, Corowa NSW 2646",-35.9964242,146.3922592
321,CULCAIRN Fire Station,"5 Black Street, Culcairn NSW 2660",-35.6656572,147.0358767
322,DENILIQUIN Fire Station,"264 George Street, Deniliquin NSW 2710",-35.5291633,144.9645116
323,FINLEY Fire Station,"239 Murray Street, Finley NSW 2713",-35.6445878,145.5754664
324,HENTY Fire Station,"14 Allan Street, Henty NSW 2658",-35.5174393,147.0323664
325,HOLBROOK Fire Station,"62 Swift Street, Holbrook NSW 2644",-35.7192025,147.3193618
326,JERILDERIE Fire Station,"23 Southey St, Jerilderie NSW 2716",-35.3588616,145.7201394
327,LOCKHART Fire Station,"84 Ferrier Street, Lockhart NSW 2656",-35.22013159999999,146.7157815
328,MOAMA Fire Station,"30-32 Maiden Street, Moama NSW 2739",-36.1096292,144.7583572
329,MULWALA Fire Station,"73 Melbourne Street, Mulwala NSW 2647",-35.9882811,146.0057962
330,TOCUMWAL Fire Station,"64 Deniliquin Street, Tocumwal NSW 2714",-35.8118524,145.5669732
331,TUMBARUMBA Fire Station,"36 Winton Street, Tumbarumba NSW 2653",-35.7800108,148.0112427
332,TURVEY PARK Fire Station,"75 Fernleigh Road, Turvey Park (Wagga Wagga) NSW 2650",-35.1321518,147.3552826
333,WAGGA WAGGA Fire Station,"36-38 The Esplanade, Wagga Wagga NSW 2650",-35.1103301,147.3657949
