s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 7.4901001E+002, 4.2250490E+003,-1.0397504E+003,-3.1009811E+003,-2.5957511E+001,-4.3319909E+001, 0.0000000E+000, 0.0000000E+000, 2.1484338E+001, 1.5040043E+001, 2.3654792E-001, 2.3654792E-001
 7.5000195E+002, 4.2923207E+003,-1.1114621E+003,-3.0947503E+003,-2.8376869E+001,-4.3239068E+001, 0.0000000E+000, 0.0000000E+000, 1.0587010E+001, 1.4492319E+001, 2.3654792E-001, 2.3654792E-001
 7.5101892E+002, 4.2813927E+003,-1.1047407E+003,-3.0955234E+003,-2.2594006E+001,-4.3081057E+001, 0.0000000E+000, 0.0000000E+000, 2.0205836E+001, 1.5453527E+001, 2.3654792E-001, 2.3654792E-001
 7.5201471E+002, 4.2887620E+003,-1.0597975E+003,-3.1656286E+003,-2.6171070E+001,-4.3035271E+001, 0.0000000E+000, 0.0000000E+000, 3.2974466E-001,-5.8703965E+000, 2.3654792E-001, 2.3654792E-001
 7.5301050E+002, 4.2716278E+003,-1.0967236E+003,-3.0905550E+003,-3.2100008E+001,-4.2983039E+001, 0.0000000E+000, 0.0000000E+000, 1.8412723E+001, 9.2661653E+000, 2.3654792E-001, 2.3654792E-001
 7.5400629E+002, 4.3522348E+003,-1.1318589E+003,-3.1145917E+003,-3.2440214E+001,-4.3364523E+001, 0.0000000E+000, 0.0000000E+000, 4.1501763E+001, 2.9979497E+001, 2.3654792E-001, 2.3654792E-001
 7.5500201E+002, 4.2033847E+003,-9.9717913E+002,-3.1872838E+003,-2.5697815E+001,-4.2605267E+001, 0.0000000E+000, 0.0000000E+000,-4.4130079E+001,-4.9381298E+001, 2.3654792E-001, 2.3654792E-001
 7.5601898E+002, 4.2242233E+003,-9.9477836E+002,-3.1087790E+003,-2.7133078E+001,-4.2621201E+001, 0.0000000E+000, 0.0000000E+000, 5.4565033E+001, 5.0911669E+001, 2.3654792E-001, 2.3654792E-001
 7.5701477E+002, 4.1916217E+003,-1.0454729E+003,-3.2009905E+003,-2.6401811E+001,-4.2734477E+001, 0.0000000E+000, 0.0000000E+000,-1.1245611E+002,-1.2397795E+002, 2.3654792E-001, 2.3654792E-001
 7.5801056E+002, 4.1552577E+003,-1.0564148E+003,-3.0684893E+003,-2.3080895E+001,-4.2748075E+001, 0.0000000E+000, 0.0000000E+000,-2.8170435E+001,-3.5475478E+001, 2.3654792E-001, 2.3654792E-001
 7.5900635E+002, 4.3141244E+003,-1.0882278E+003,-3.1121586E+003,-2.0530238E+001,-4.3319952E+001, 0.0000000E+000, 0.0000000E+000, 4.8153611E+001, 4.9887844E+001, 2.3654792E-001, 2.3654792E-001
 7.6000214E+002, 4.3103104E+003,-1.0730371E+003,-3.1822041E+003,-2.0847062E+001,-4.3435751E+001, 0.0000000E+000, 0.0000000E+000,-7.7178858E+000,-9.2135315E+000, 2.3654792E-001, 2.3654792E-001
 7.6101910E+002, 4.2749904E+003,-1.0142260E+003,-3.1091543E+003,-3.1153613E+001,-4.3209576E+001, 0.0000000E+000, 0.0000000E+000, 8.4034880E+001, 7.7246941E+001, 2.3654792E-001, 2.3654792E-001
 7.6201489E+002, 4.2461602E+003,-1.0567756E+003,-3.1235191E+003,-3.3404212E+001,-4.2833892E+001, 0.0000000E+000, 0.0000000E+000,-2.7810050E+000,-1.0372601E+001, 2.3654792E-001, 2.3654792E-001
 7.6301062E+002, 4.2530536E+003,-1.1192991E+003,-3.1141076E+003,-3.1618212E+001,-4.1913094E+001, 0.0000000E+000, 0.0000000E+000,-4.9458636E+001,-5.3884499E+001, 2.3654792E-001, 2.3654792E-001
 7.6400641E+002, 4.3753805E+003,-1.1037508E+003,-3.1661386E+003,-2.0839912E+001,-4.1931966E+001, 0.0000000E+000, 0.0000000E+000, 5.3515833E+001, 4.2719244E+001, 2.3654792E-001, 2.3654792E-001
 7.6501068E+002, 4.2145078E+003,-1.0867487E+003,-3.0959257E+003,-3.5969423E+001,-4.1300459E+001, 0.0000000E+000, 0.0000000E+000,-3.2801317E+001,-4.5436528E+001, 2.3654792E-001, 2.3654792E-001
 7.6600989E+002, 4.3336056E+003,-1.0809886E+003,-3.1829067E+003,-3.3506796E+001,-4.1449352E+001, 0.0000000E+000, 0.0000000E+000, 1.7414118E+000,-5.2459023E+000, 2.3654792E-001, 2.3654792E-001
 7.6701147E+002, 4.2799528E+003,-1.0484020E+003,-3.1489769E+003,-6.3286182E+001,-4.2204184E+001, 0.0000000E+000, 0.0000000E+000,-2.8454831E+000,-2.2916534E+001, 2.3654792E-001, 2.3654792E-001
 7.6800891E+002, 4.3121693E+003,-1.1232334E+003,-3.1647337E+003,-5.5436686E+001,-4.2538815E+001, 0.0000000E+000, 0.0000000E+000,-4.7240519E+001,-7.3773370E+001, 2.3654792E-001, 2.3654792E-001
 7.6900635E+002, 4.2190033E+003,-1.0670999E+003,-3.0556163E+003,-2.7292229E+001,-4.1304873E+001, 0.0000000E+000, 0.0000000E+000, 2.7692175E+001, 2.7689958E+001, 2.3654792E-001, 2.3654792E-001
 7.7000378E+002, 4.3926027E+003,-1.1209333E+003,-3.1817786E+003,-2.6146872E+001,-4.1703881E+001, 0.0000000E+000, 0.0000000E+000, 1.9950111E+001, 2.2040008E+001, 2.3654792E-001, 2.3654792E-001
 7.7100122E+002, 4.3163849E+003,-1.1078923E+003,-3.1934568E+003,-5.2094530E+001,-4.2158726E+001, 0.0000000E+000, 0.0000000E+000,-5.4098159E+001,-7.9217430E+001, 2.3654792E-001, 2.3654792E-001
 7.7201868E+002, 4.3273914E+003,-1.1040104E+003,-3.1845950E+003,-2.2799223E+001,-4.2780852E+001, 0.0000000E+000, 0.0000000E+000,-2.2747226E+001,-2.6794123E+001, 2.3654792E-001, 2.3654792E-001
 7.7301636E+002, 4.2741108E+003,-1.0823030E+003,-3.0949140E+003,-2.8076337E+001,-4.2832156E+001, 0.0000000E+000, 0.0000000E+000, 3.0484201E+001, 2.5985260E+001, 2.3654792E-001, 2.3654792E-001
 7.7401410E+002, 4.2803677E+003,-1.0745766E+003,-3.1199901E+003,-1.9591807E+001,-4.2973249E+001, 0.0000000E+000, 0.0000000E+000, 3.1012944E+001, 2.3235923E+001, 2.3654792E-001, 2.3654792E-001
 7.7500983E+002, 4.2184798E+003,-1.0595374E+003,-3.1203251E+003,-2.0429478E+001,-4.2044224E+001, 0.0000000E+000, 0.0000000E+000,-1.9127105E+001,-2.3856319E+001, 2.3654792E-001, 2.3654792E-001
 7.7600586E+002, 4.4128099E+003,-1.1071898E+003,-3.1510789E+003,-3.9928893E+001,-4.2690786E+001, 0.0000000E+000, 0.0000000E+000, 8.0984903E+001, 7.1921520E+001, 2.3654792E-001, 2.3654792E-001
 7.7701050E+002, 4.2302230E+003,-1.0317884E+003,-3.2081059E+003,-3.3308567E+001,-4.2713059E+001, 0.0000000E+000, 0.0000000E+000,-8.0085596E+001,-8.5692959E+001, 2.3654792E-001, 2.3654792E-001
 7.7801508E+002, 4.1293265E+003,-9.7238661E+002,-3.1205431E+003,-2.3122899E+001,-4.2666338E+001, 0.0000000E+000, 0.0000000E+000,-2.9919666E+001,-2.9392421E+001, 2.3654792E-001, 2.3654792E-001
 7.7901971E+002, 4.2643508E+003,-1.0834274E+003,-3.1215041E+003,-2.8839096E+001,-4.3192118E+001, 0.0000000E+000, 0.0000000E+000,-1.6899694E+000,-1.2611846E+001, 2.3654792E-001, 2.3654792E-001
 7.8000427E+002, 4.2344101E+003,-9.7374060E+002,-3.1693636E+003,-2.6576690E+001,-4.3100598E+001, 0.0000000E+000, 0.0000000E+000, 2.4230506E+001, 2.1628652E+001, 2.3654792E-001, 2.3654792E-001
 7.8101691E+002, 4.2640341E+003,-1.0687873E+003,-3.0414609E+003,-2.4554539E+001,-4.2372718E+001, 0.0000000E+000, 0.0000000E+000, 9.1517151E+001, 8.6858647E+001, 2.3654792E-001, 2.3654792E-001
 7.8201147E+002, 4.3076335E+003,-1.0539815E+003,-3.2282745E+003,-4.4600789E+001,-4.2388098E+001, 0.0000000E+000, 0.0000000E+000,-2.9982863E+001,-6.1611398E+001, 2.3654792E-001, 2.3654792E-001
 7.8301855E+002, 4.2027600E+003,-9.9344101E+002,-3.2021504E+003,-2.4473876E+001,-4.2593868E+001, 0.0000000E+000, 0.0000000E+000,-6.8787187E+001,-5.9899162E+001, 2.3654792E-001, 2.3654792E-001
 7.8401147E+002, 4.2274048E+003,-1.0629560E+003,-3.1538171E+003,-2.0043113E+001,-4.2702090E+001, 0.0000000E+000, 0.0000000E+000,-4.2290694E+001,-5.2113446E+001, 2.3654792E-001, 2.3654792E-001
 7.8500439E+002, 4.3191560E+003,-1.1162304E+003,-3.0701205E+003,-1.9945772E+001,-4.2985198E+001, 0.0000000E+000, 0.0000000E+000, 6.5132634E+001, 6.9874098E+001, 2.3654792E-001, 2.3654792E-001
 7.8601721E+002, 4.2925048E+003,-1.0702055E+003,-3.1941091E+003,-2.3675716E+001,-4.2856163E+001, 0.0000000E+000, 0.0000000E+000,-3.1480788E+001,-3.8341755E+001, 2.3654792E-001, 2.3654792E-001
 7.8701019E+002, 4.2809284E+003,-1.0540028E+003,-3.0794305E+003,-4.0391512E+001,-4.2021446E+001, 0.0000000E+000, 0.0000000E+000, 8.3536456E+001, 6.5082118E+001, 2.3654792E-001, 2.3654792E-001
 7.8800311E+002, 4.2789268E+003,-1.0359114E+003,-3.1699354E+003,-3.7271866E+001,-4.2477397E+001, 0.0000000E+000, 0.0000000E+000,-5.9804086E+000,-6.6692428E+000, 2.3654792E-001, 2.3654792E-001
 7.8901990E+002, 4.1947120E+003,-1.0572342E+003,-3.0836940E+003,-2.7274840E+001,-4.1410229E+001, 0.0000000E+000, 0.0000000E+000,-1.3562090E+001,-1.4901189E+001, 2.3654792E-001, 2.3654792E-001
 7.9000500E+002, 4.2527699E+003,-1.0435408E+003,-3.1509557E+003,-3.4711145E+001,-4.1744828E+001, 0.0000000E+000, 0.0000000E+000,-1.2773181E-001,-1.8182675E+001, 2.3654792E-001, 2.3654792E-001
 7.9101331E+002, 4.3606113E+003,-1.0669747E+003,-3.2532116E+003,-2.7922995E+001,-4.2247584E+001, 0.0000000E+000, 0.0000000E+000,-2.5952919E+001,-2.9745531E+001, 2.3654792E-001, 2.3654792E-001
 7.9200513E+002, 4.1841831E+003,-1.0234132E+003,-3.1887453E+003,-2.2392274E+001,-4.2434831E+001, 0.0000000E+000, 0.0000000E+000,-9.0698257E+001,-9.2802571E+001, 2.3654792E-001, 2.3654792E-001
 7.9301624E+002, 4.2222086E+003,-1.0844303E+003,-3.0400214E+003,-1.9923054E+001,-4.2105978E+001, 0.0000000E+000, 0.0000000E+000, 3.9067162E+001, 3.5727885E+001, 2.3654792E-001, 2.3654792E-001
 7.9400208E+002, 4.3229718E+003,-1.1201506E+003,-3.0312497E+003,-2.2263167E+001,-4.1509383E+001, 0.0000000E+000, 0.0000000E+000, 1.1674063E+002, 1.0779899E+002, 2.3654792E-001, 2.3654792E-001
 7.9500732E+002, 4.2471561E+003,-1.0502247E+003,-3.1882888E+003,-3.4714994E+001,-4.1259687E+001, 0.0000000E+000, 0.0000000E+000,-6.4130567E+001,-6.7332070E+001, 2.3654792E-001, 2.3654792E-001
 7.9601257E+002, 4.3018726E+003,-1.0854157E+003,-3.2242043E+003,-2.5104110E+001,-4.1655582E+001, 0.0000000E+000, 0.0000000E+000,-6.2715627E+001,-7.4507066E+001, 2.3654792E-001, 2.3654792E-001
 7.9701788E+002, 4.2175125E+003,-1.1089150E+003,-2.9968406E+003,-2.3070196E+001,-4.1170016E+001, 0.0000000E+000, 0.0000000E+000, 4.8002312E+001, 4.7516726E+001, 2.3654792E-001, 2.3654792E-001
 7.9800769E+002, 4.3193143E+003,-1.1047420E+003,-3.1418344E+003,-2.9966399E+001,-4.0902949E+001, 0.0000000E+000, 0.0000000E+000, 1.1193127E+001, 1.8685527E+000, 2.3654792E-001, 2.3654792E-001
 7.9900146E+002, 4.4148651E+003,-1.0541705E+003,-3.2111461E+003,-4.1035621E+001,-4.1924237E+001, 0.0000000E+000, 0.0000000E+000, 7.2525554E+001, 6.6588638E+001, 2.3654792E-001, 2.3654792E-001
 8.0000421E+002, 4.2698657E+003,-1.0576269E+003,-3.2319966E+003,-3.4774611E+001,-4.1818063E+001, 0.0000000E+000, 0.0000000E+000,-8.5805031E+001,-9.6350524E+001, 2.3654792E-001, 2.3654792E-001
 8.0101373E+002, 4.2016818E+003,-1.1170357E+003,-3.0162474E+003,-2.0499411E+001,-4.0869398E+001, 0.0000000E+000, 0.0000000E+000, 3.8333639E+000, 7.0299069E+000, 2.3654792E-001, 2.3654792E-001
 8.0200031E+002, 4.4143113E+003,-1.1038508E+003,-3.1595019E+003,-2.5574983E+001,-4.2158137E+001, 0.0000000E+000, 0.0000000E+000, 1.0463259E+002, 8.3225561E+001, 2.3654792E-001, 2.3654792E-001
 8.0301569E+002, 4.3393462E+003,-1.0821815E+003,-3.3075561E+003,-2.3088831E+001,-4.2359626E+001, 0.0000000E+000, 0.0000000E+000,-1.2354568E+002,-1.1583976E+002, 2.3654792E-001, 2.3654792E-001
 8.0400189E+002, 4.1825745E+003,-1.0387613E+003,-3.0539633E+003,-2.5228952E+001,-4.1742286E+001, 0.0000000E+000, 0.0000000E+000, 3.0675458E+001, 2.2878615E+001, 2.3654792E-001, 2.3654792E-001
 8.0500836E+002, 4.2117008E+003,-1.0815293E+003,-3.0289636E+003,-3.3922748E+001,-4.1178236E+001, 0.0000000E+000, 0.0000000E+000, 3.1839855E+001, 2.6106965E+001, 2.3654792E-001, 2.3654792E-001
 8.0601288E+002, 4.3809303E+003,-1.0722822E+003,-3.2146040E+003,-5.6488870E+001,-4.0853143E+001, 0.0000000E+000, 0.0000000E+000, 1.7904701E+001,-3.2979550E+000, 2.3654792E-001, 2.3654792E-001
 8.0701740E+002, 4.3304407E+003,-1.0976157E+003,-3.2192120E+003,-3.6648148E+001,-4.1584662E+001, 0.0000000E+000, 0.0000000E+000,-4.3461496E+001,-6.4619836E+001, 2.3654792E-001, 2.3654792E-001
 8.0800348E+002, 4.3201039E+003,-1.1469037E+003,-3.1340802E+003,-2.7183061E+001,-4.1587860E+001, 0.0000000E+000, 0.0000000E+000,-3.2837269E+001,-2.9650987E+001, 2.3654792E-001, 2.3654792E-001
 8.0901660E+002, 4.2788603E+003,-1.1258246E+003,-3.1334583E+003,-2.3149403E+001,-4.0869697E+001, 0.0000000E+000, 0.0000000E+000,-4.1625413E+001,-4.4441716E+001, 2.3654792E-001, 2.3654792E-001
 8.1001019E+002, 4.3836170E+003,-1.1305309E+003,-3.0084956E+003,-3.5290537E+001,-4.1536595E+001, 0.0000000E+000, 0.0000000E+000, 1.7398899E+002, 1.6776339E+002, 2.3654792E-001, 2.3654792E-001
 8.1101642E+002, 4.2642884E+003,-1.0430955E+003,-3.3183118E+003,-3.3912870E+001,-4.1944108E+001, 0.0000000E+000, 0.0000000E+000,-1.5833818E+002,-1.7297587E+002, 2.3654792E-001, 2.3654792E-001
 8.1201776E+002, 4.2688322E+003,-1.0715864E+003,-3.0234150E+003,-4.2979112E+001,-4.1922319E+001, 0.0000000E+000, 0.0000000E+000, 1.0864484E+002, 8.8929393E+001, 2.3654792E-001, 2.3654792E-001
 8.1300165E+002, 4.3132099E+003,-1.0336667E+003,-3.1866544E+003,-3.4267391E+001,-4.1938636E+001, 0.0000000E+000, 0.0000000E+000, 1.2936542E+001, 1.6682751E+001, 2.3654792E-001, 2.3654792E-001
 8.1401483E+002, 4.3121967E+003,-1.0699981E+003,-3.1929897E+003,-4.7157462E+001,-4.2366864E+001, 0.0000000E+000, 0.0000000E+000,-2.6268445E+001,-4.0315318E+001, 2.3654792E-001, 2.3654792E-001
 8.1500720E+002, 4.2368747E+003,-1.0843122E+003,-3.1956740E+003,-2.2666351E+001,-4.1891011E+001, 0.0000000E+000, 0.0000000E+000,-1.0342745E+002,-1.0766887E+002, 2.3654792E-001, 2.3654792E-001
 8.1602063E+002, 4.3271236E+003,-1.0439268E+003,-3.0639681E+003,-2.4528963E+001,-4.2032493E+001, 0.0000000E+000, 0.0000000E+000, 1.5472833E+002, 1.5266730E+002, 2.3654792E-001, 2.3654792E-001
 8.1701300E+002, 4.2889588E+003,-1.0691891E+003,-3.2350784E+003,-2.5360781E+001,-4.1938406E+001, 0.0000000E+000, 0.0000000E+000,-7.9145083E+001,-8.2607850E+001, 2.3654792E-001, 2.3654792E-001
 8.1801477E+002, 4.2562518E+003,-1.1359433E+003,-3.1163996E+003,-2.0798853E+001,-4.1323072E+001, 0.0000000E+000, 0.0000000E+000,-5.6375639E+001,-5.8212978E+001, 2.3654792E-001, 2.3654792E-001
 8.1902216E+002, 4.3985685E+003,-1.0949465E+003,-3.0931899E+003,-2.1091135E+001,-4.2023928E+001, 0.0000000E+000, 0.0000000E+000, 1.5834616E+002, 1.4731697E+002, 2.3654792E-001, 2.3654792E-001
 8.2000110E+002, 4.2008639E+003,-1.0902866E+003,-3.1683901E+003,-2.0497221E+001,-4.1402634E+001, 0.0000000E+000, 0.0000000E+000,-1.2960040E+002,-1.1971259E+002, 2.3654792E-001, 2.3654792E-001
 8.2101807E+002, 4.3678807E+003,-1.1113352E+003,-3.1672040E+003,-2.7417420E+001,-4.1726717E+001, 0.0000000E+000, 0.0000000E+000, 2.5055733E+001, 2.0197343E+001, 2.3654792E-001, 2.3654792E-001
 8.2200537E+002, 4.3294773E+003,-1.0719748E+003,-3.1590567E+003,-4.0834134E+001,-4.2466825E+001, 0.0000000E+000, 0.0000000E+000, 3.1791072E+001, 1.5144858E+001, 2.3654792E-001, 2.3654792E-001
 8.2301819E+002, 4.2772706E+003,-1.0710359E+003,-3.2130323E+003,-2.2086490E+001,-4.2139675E+001, 0.0000000E+000, 0.0000000E+000,-6.5338964E+001,-7.1023809E+001, 2.3654792E-001, 2.3654792E-001
 8.2401489E+002, 4.3750068E+003,-1.0913466E+003,-3.0795283E+003,-2.2498770E+001,-4.2329844E+001, 0.0000000E+000, 0.0000000E+000, 1.2967810E+002, 1.3930324E+002, 2.3654792E-001, 2.3654792E-001
 8.2501154E+002, 4.3716745E+003,-1.0951639E+003,-3.3056048E+003,-2.7363988E+001,-4.3113890E+001, 0.0000000E+000, 0.0000000E+000,-7.7223467E+001,-9.9572037E+001, 2.3654792E-001, 2.3654792E-001
 8.2601086E+002, 4.2086230E+003,-1.0164130E+003,-3.1657561E+003,-4.8249387E+001,-4.2883573E+001, 0.0000000E+000, 0.0000000E+000,-5.6081955E+001,-6.4679028E+001, 2.3654792E-001, 2.3654792E-001
 8.2701599E+002, 4.2960349E+003,-1.0720617E+003,-3.0757939E+003,-4.7296429E+001,-4.3196092E+001, 0.0000000E+000, 0.0000000E+000, 6.8045841E+001, 5.7686745E+001, 2.3654792E-001, 2.3654792E-001
 8.2800146E+002, 4.2905148E+003,-1.0917483E+003,-3.2135412E+003,-3.3215778E+001,-4.3519148E+001, 0.0000000E+000, 0.0000000E+000,-7.8807006E+001,-9.1509591E+001, 2.3654792E-001, 2.3654792E-001
 8.2900659E+002, 4.2174911E+003,-1.0566064E+003,-3.0018332E+003,-3.0992967E+001,-4.2470983E+001, 0.0000000E+000, 0.0000000E+000, 8.9931362E+001, 8.5587522E+001, 2.3654792E-001, 2.3654792E-001
 8.3000842E+002, 4.2506227E+003,-9.8164994E+002,-3.2922632E+003,-2.9418235E+001,-4.2736215E+001, 0.0000000E+000, 0.0000000E+000,-8.4134783E+001,-9.5444827E+001, 2.3654792E-001, 2.3654792E-001
 8.3101501E+002, 4.3082536E+003,-1.0618385E+003,-3.1925886E+003,-2.4277533E+001,-4.2849745E+001, 0.0000000E+000, 0.0000000E+000,-1.2336328E+001,-1.3300732E+001, 2.3654792E-001, 2.3654792E-001
 8.3200787E+002, 4.3042761E+003,-1.0841239E+003,-2.9343947E+003,-2.9159871E+001,-4.2438082E+001, 0.0000000E+000, 0.0000000E+000, 2.2678490E+002, 2.1415952E+002, 2.3654792E-001, 2.3654792E-001
 8.3301294E+002, 4.2907371E+003,-1.0598394E+003,-3.3071111E+003,-3.7261882E+001,-4.2864082E+001, 0.0000000E+000, 0.0000000E+000,-1.4719761E+002,-1.5633943E+002, 2.3654792E-001, 2.3654792E-001
 8.3401990E+002, 4.2760715E+003,-1.1093225E+003,-3.0665402E+003,-2.9313119E+001,-4.1935173E+001, 0.0000000E+000, 0.0000000E+000, 3.1984052E+001, 2.8960513E+001, 2.3654792E-001, 2.3654792E-001
 8.3500586E+002, 4.2472411E+003,-1.0606407E+003,-3.1816857E+003,-3.0543494E+001,-4.2231555E+001, 0.0000000E+000, 0.0000000E+000,-6.1328241E+001,-6.7860392E+001, 2.3654792E-001, 2.3654792E-001
 8.3600208E+002, 4.3811654E+003,-1.1355647E+003,-3.1025664E+003,-6.8861948E+001,-4.1678945E+001, 0.0000000E+000, 0.0000000E+000, 6.9554804E+001, 3.2493397E+001, 2.3654792E-001, 2.3654792E-001
 8.3701733E+002, 4.1332802E+003,-9.8841992E+002,-3.2245229E+003,-2.2875317E+001,-4.1225301E+001, 0.0000000E+000, 0.0000000E+000,-1.4974279E+002,-1.4376329E+002, 2.3654792E-001, 2.3654792E-001
 8.3800519E+002, 4.4969420E+003,-1.1483175E+003,-3.1387279E+003,-2.0324327E+001,-4.2378671E+001, 0.0000000E+000, 0.0000000E+000, 1.5430702E+002, 1.4719366E+002, 2.3654792E-001, 2.3654792E-001
 8.3900006E+002, 4.1695810E+003,-1.0520540E+003,-3.1529473E+003,-2.4108944E+001,-4.2327682E+001, 0.0000000E+000, 0.0000000E+000,-9.8039505E+001,-1.0185685E+002, 2.3654792E-001, 2.3654792E-001
 8.4000177E+002, 4.3276619E+003,-1.0773247E+003,-3.2097182E+003,-2.9446136E+001,-4.2546622E+001, 0.0000000E+000, 0.0000000E+000,-2.7893108E+001,-3.1373755E+001, 2.3654792E-001, 2.3654792E-001
 8.4100873E+002, 4.1963488E+003,-1.0197262E+003,-3.1002024E+003,-1.9507597E+001,-4.1947869E+001, 0.0000000E+000, 0.0000000E+000, 2.2823108E+001, 1.4964729E+001, 2.3654792E-001, 2.3654792E-001
 8.4201575E+002, 4.2916010E+003,-1.0693689E+003,-3.1681349E+003,-2.9414140E+001,-4.2677495E+001, 0.0000000E+000, 0.0000000E+000,-1.0124280E+001,-1.7994502E+001, 2.3654792E-001, 2.3654792E-001
 8.4300262E+002, 4.2403009E+003,-1.0464160E+003,-3.1244306E+003,-2.2917779E+001,-4.2466884E+001, 0.0000000E+000, 0.0000000E+000, 4.7873740E+000, 4.0695311E+000, 2.3654792E-001, 2.3654792E-001
 8.4400958E+002, 4.2901057E+003,-1.0839257E+003,-3.0920973E+003,-2.0495413E+001,-4.2722962E+001, 0.0000000E+000, 0.0000000E+000, 5.8246550E+001, 5.0864294E+001, 2.3654792E-001, 2.3654792E-001
 8.4501660E+002, 4.2183925E+003,-1.1043520E+003,-3.1391384E+003,-2.3100027E+001,-4.2557294E+001, 0.0000000E+000, 0.0000000E+000,-8.9516039E+001,-9.0755143E+001, 2.3654792E-001, 2.3654792E-001
 8.4600342E+002, 4.3088761E+003,-1.1357642E+003,-3.0681373E+003,-2.6002446E+001,-4.2284165E+001, 0.0000000E+000, 0.0000000E+000, 3.8853547E+001, 3.6688070E+001, 2.3654792E-001, 2.3654792E-001
 8.4701044E+002, 4.3554885E+003,-1.0815626E+003,-3.2039596E+003,-1.9697703E+001,-4.2855352E+001, 0.0000000E+000, 0.0000000E+000, 5.8554811E+000, 7.4132827E+000, 2.3654792E-001, 2.3654792E-001
 8.4800531E+002, 4.2746712E+003,-1.0955810E+003,-3.1052741E+003,-1.9341447E+001,-4.2772517E+001, 0.0000000E+000, 0.0000000E+000, 1.2098379E+001, 1.1702136E+001, 2.3654792E-001, 2.3654792E-001
 8.4900226E+002, 4.3058698E+003,-1.0889752E+003,-3.1891633E+003,-2.3552234E+001,-4.2535388E+001, 0.0000000E+000, 0.0000000E+000,-2.6795241E+001,-3.8356379E+001, 2.3654792E-001, 2.3654792E-001
 8.5002130E+002, 4.2477323E+003,-1.0336991E+003,-3.1497990E+003,-2.2054289E+001,-4.2560952E+001, 0.0000000E+000, 0.0000000E+000,-3.7007979E-002,-3.8100982E-001, 2.3654792E-001, 2.3654792E-001
 8.5101825E+002, 4.1747953E+003,-1.0250773E+003,-3.1060833E+003,-2.1500556E+001,-4.2764692E+001, 0.0000000E+000, 0.0000000E+000,-1.2505327E+001,-2.0630516E+001, 2.3654792E-001, 2.3654792E-001
 8.5201520E+002, 4.2188118E+003,-1.0796757E+003,-3.0821748E+003,-3.0204534E+001,-4.2778910E+001, 0.0000000E+000, 0.0000000E+000,-1.2764744E+001,-1.6022112E+001, 2.3654792E-001, 2.3654792E-001
 8.5301923E+002, 4.2577806E+003,-1.0471430E+003,-3.1577603E+003,-2.5087566E+001,-4.2991631E+001, 0.0000000E+000, 0.0000000E+000,-9.5152367E+000,-1.5201870E+001, 2.3654792E-001, 2.3654792E-001
 8.5401434E+002, 4.2883304E+003,-1.0661290E+003,-3.1559718E+003,-2.0190047E+001,-4.3338806E+001, 0.0000000E+000, 0.0000000E+000, 3.4965439E+000, 2.7007830E+000, 2.3654792E-001, 2.3654792E-001
 8.5500940E+002, 4.2674708E+003,-1.0594636E+003,-3.1686044E+003,-2.2132084E+001,-4.3505201E+001, 0.0000000E+000, 0.0000000E+000,-1.5094626E+001,-2.6234433E+001, 2.3654792E-001, 2.3654792E-001
 8.5600446E+002, 4.1310390E+003,-1.0033769E+003,-3.0811093E+003,-2.4285593E+001,-4.2843208E+001, 0.0000000E+000, 0.0000000E+000,-1.9774497E+001,-2.0576023E+001, 2.3654792E-001, 2.3654792E-001
 8.5701947E+002, 4.2259702E+003,-1.0846318E+003,-3.0119536E+003,-3.2712117E+001,-4.2134499E+001, 0.0000000E+000, 0.0000000E+000, 5.9381676E+001, 5.4538166E+001, 2.3654792E-001, 2.3654792E-001
 8.5800854E+002, 4.2110554E+003,-1.0185203E+003,-3.1007165E+003,-5.3174633E+001,-4.1807408E+001, 0.0000000E+000, 0.0000000E+000, 2.4614916E+001,-3.1633511E+000, 2.3654792E-001, 2.3654792E-001
 8.5900323E+002, 4.2403143E+003,-1.0165714E+003,-3.1743816E+003,-3.7625402E+001,-4.1435482E+001, 0.0000000E+000, 0.0000000E+000,-1.9488686E+001,-2.9699627E+001, 2.3654792E-001, 2.3654792E-001
 8.6001263E+002, 4.4463575E+003,-1.1505078E+003,-3.1648514E+003,-2.2407237E+001,-4.2094363E+001, 0.0000000E+000, 0.0000000E+000, 7.4295812E+001, 6.6496741E+001, 2.3654792E-001, 2.3654792E-001
 8.6100464E+002, 4.2968546E+003,-1.0671839E+003,-3.1856677E+003,-2.1439797E+001,-4.2746203E+001, 0.0000000E+000, 0.0000000E+000,-2.9239886E+001,-2.0182953E+001, 2.3654792E-001, 2.3654792E-001
 8.6201776E+002, 4.2339001E+003,-1.0912151E+003,-3.2028790E+003,-3.9880209E+001,-4.2161015E+001, 0.0000000E+000, 0.0000000E+000,-1.1883306E+002,-1.4223523E+002, 2.3654792E-001, 2.3654792E-001
 8.6300977E+002, 4.3445436E+003,-1.1434746E+003,-3.0422694E+003,-3.1757517E+001,-4.1986673E+001, 0.0000000E+000, 0.0000000E+000, 8.4838674E+001, 8.5055424E+001, 2.3654792E-001, 2.3654792E-001
