s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.0600848E+002, 4.3488383E+003,-1.1091904E+003,-3.1888500E+003,-2.2600548E+001,-4.2174965E+001, 0.0000000E+000, 0.0000000E+000,-1.1586543E+001,-1.3977587E+001, 2.3654792E-001, 2.3654792E-001
 2.0701630E+002, 4.2643698E+003,-1.0544065E+003,-3.0977832E+003,-3.9427991E+001,-4.1814518E+001, 0.0000000E+000, 0.0000000E+000, 4.2624743E+001, 3.0937597E+001, 2.3654792E-001, 2.3654792E-001
 2.0802014E+002, 4.3247707E+003,-1.0738628E+003,-3.2158063E+003,-3.9649659E+001,-4.2116290E+001, 0.0000000E+000, 0.0000000E+000,-3.9045933E+001,-4.6664363E+001, 2.3654792E-001, 2.3654792E-001
 2.0900215E+002, 4.1836798E+003,-1.0431438E+003,-3.1301449E+003,-2.6482463E+001,-4.1755515E+001, 0.0000000E+000, 0.0000000E+000,-4.8558789E+001,-5.7846911E+001, 2.3654792E-001, 2.3654792E-001
 2.1000600E+002, 4.3530141E+003,-1.1223321E+003,-3.0776048E+003,-3.8754273E+001,-4.1846464E+001, 0.0000000E+000, 0.0000000E+000, 9.1849752E+001, 7.2476530E+001, 2.3654792E-001, 2.3654792E-001
 2.1100984E+002, 4.3404526E+003,-1.0591808E+003,-3.2181223E+003,-5.9084079E+001,-4.2008372E+001, 0.0000000E+000, 0.0000000E+000,-2.0814411E+001,-3.7942947E+001, 2.3654792E-001, 2.3654792E-001
 2.1201369E+002, 4.2907764E+003,-1.0557856E+003,-3.2248625E+003,-3.5686464E+001,-4.1795560E+001, 0.0000000E+000, 0.0000000E+000,-5.6238276E+001,-6.7353781E+001, 2.3654792E-001, 2.3654792E-001
 2.1301753E+002, 4.1805085E+003,-1.0246056E+003,-3.0864681E+003,-2.9661675E+001,-4.2496913E+001, 0.0000000E+000, 0.0000000E+000, 5.6557230E+000,-2.7237506E+000, 2.3654792E-001, 2.3654792E-001
 2.1402138E+002, 4.2718918E+003,-1.0607090E+003,-3.0250545E+003,-6.3133971E+001,-4.2027027E+001, 0.0000000E+000, 0.0000000E+000, 9.9106113E+001, 8.0967370E+001, 2.3654792E-001, 2.3654792E-001
 2.1501241E+002, 4.2075949E+003,-1.0418534E+003,-3.1677426E+003,-3.8806495E+001,-4.0588681E+001, 0.0000000E+000, 0.0000000E+000,-6.4093022E+001,-8.1396227E+001, 2.3654792E-001, 2.3654792E-001
 2.1600679E+002, 4.4985266E+003,-1.1560553E+003,-3.2306451E+003,-4.8217575E+001,-4.1371011E+001, 0.0000000E+000, 0.0000000E+000, 4.0718282E+001, 2.2237580E+001, 2.3654792E-001, 2.3654792E-001
 2.1700636E+002, 4.1519145E+003,-1.0272178E+003,-3.0984810E+003,-2.2510130E+001,-4.1374082E+001, 0.0000000E+000, 0.0000000E+000,-3.2628794E+001,-3.7668420E+001, 2.3654792E-001, 2.3654792E-001
 2.1802048E+002, 4.3177321E+003,-1.0989311E+003,-3.2036853E+003,-2.3148719E+001,-4.1246662E+001, 0.0000000E+000, 0.0000000E+000,-4.4249260E+001,-4.9279672E+001, 2.3654792E-001, 2.3654792E-001
 2.1901048E+002, 4.1638362E+003,-1.0448523E+003,-3.1037456E+003,-2.8497785E+001,-4.1160631E+001, 0.0000000E+000, 0.0000000E+000,-4.9060960E+001,-5.4420159E+001, 2.3654792E-001, 2.3654792E-001
 2.2001721E+002, 4.4440822E+003,-1.1331909E+003,-3.1881571E+003,-3.1451947E+001,-4.2183699E+001, 0.0000000E+000, 0.0000000E+000, 5.8530342E+001, 4.9098458E+001, 2.3654792E-001, 2.3654792E-001
 2.2100783E+002, 4.3047396E+003,-1.0375850E+003,-3.1646515E+003,-5.8227345E+001,-4.2584474E+001, 0.0000000E+000, 0.0000000E+000, 3.1835555E+001, 1.6912437E+000, 2.3654792E-001, 2.3654792E-001
 2.2200447E+002, 4.2967386E+003,-1.0626306E+003,-3.1191098E+003,-6.3945349E+001,-4.3093340E+001, 0.0000000E+000, 0.0000000E+000, 3.7909591E+001, 7.9594533E+000, 2.3654792E-001, 2.3654792E-001
 2.2300113E+002, 4.2010122E+003,-1.0036381E+003,-3.2293004E+003,-5.3998150E+001,-4.2555604E+001, 0.0000000E+000, 0.0000000E+000,-1.1398361E+002,-1.2848007E+002, 2.3654792E-001, 2.3654792E-001
 2.2401991E+002, 4.1171872E+003,-1.0268742E+003,-3.0927310E+003,-2.6938690E+001,-4.2054199E+001, 0.0000000E+000, 0.0000000E+000,-6.3553697E+001,-7.1410910E+001, 2.3654792E-001, 2.3654792E-001
 2.2501648E+002, 4.3488513E+003,-1.1329235E+003,-3.0370566E+003,-2.8515128E+001,-4.2407315E+001, 0.0000000E+000, 0.0000000E+000, 1.1358563E+002, 1.0794880E+002, 2.3654792E-001, 2.3654792E-001
 2.2601306E+002, 4.2342110E+003,-1.0526331E+003,-3.1564928E+003,-3.0961097E+001,-4.2296528E+001, 0.0000000E+000, 0.0000000E+000,-4.1608393E+001,-4.8172542E+001, 2.3654792E-001, 2.3654792E-001
 2.2700964E+002, 4.3456456E+003,-1.0973638E+003,-3.1326780E+003,-2.5567806E+001,-4.2845906E+001, 0.0000000E+000, 0.0000000E+000, 4.2724527E+001, 4.7190100E+001, 2.3654792E-001, 2.3654792E-001
 2.2800623E+002, 4.2781324E+003,-1.0570355E+003,-3.1674645E+003,-2.7854650E+001,-4.2942510E+001, 0.0000000E+000, 0.0000000E+000,-4.6562781E+000,-1.7164795E+001, 2.3654792E-001, 2.3654792E-001
 2.2900281E+002, 4.1324391E+003,-1.0222058E+003,-3.0975841E+003,-2.6740168E+001,-4.2089167E+001, 0.0000000E+000, 0.0000000E+000,-4.8394557E+001,-5.6180047E+001, 2.3654792E-001, 2.3654792E-001
 2.3001932E+002, 4.2483068E+003,-1.0600469E+003,-3.0637113E+003,-2.8756144E+001,-4.1488066E+001, 0.0000000E+000, 0.0000000E+000, 5.8834370E+001, 5.4304360E+001, 2.3654792E-001, 2.3654792E-001
 2.3101590E+002, 4.2544620E+003,-1.0705077E+003,-3.1445736E+003,-4.3989559E+001,-4.1579794E+001, 0.0000000E+000, 0.0000000E+000,-3.0459490E+001,-4.6188592E+001, 2.3654792E-001, 2.3654792E-001
 2.3201248E+002, 4.3005880E+003,-1.0723725E+003,-3.1366353E+003,-3.4643259E+001,-4.2306954E+001, 0.0000000E+000, 0.0000000E+000, 2.4378103E+001, 1.4630001E+001, 2.3654792E-001, 2.3654792E-001
