s,m3/s,m3/s,C,C,C
Time,"E_01","E_02","TMP_01","TMP_02","TMP_03"
 5.2005766E+001,-2.0000000E+000,-4.0000000E+000, 8.0689414E+001, 3.0039075E+001, 3.2384036E+001
 5.3002141E+001,-2.0000000E+000,-4.0000000E+000, 3.9097472E+001, 3.1331423E+001, 2.7378911E+001
 5.4012750E+001,-2.0000000E+000,-4.0000000E+000, 8.1124225E+001, 3.2187562E+001, 3.1414732E+001
 5.5009124E+001,-2.0000000E+000,-4.0000000E+000, 3.6272290E+001, 3.1434429E+001, 3.4419470E+001
 5.6005499E+001,-2.0000000E+000,-4.0000000E+000, 5.6236611E+001, 3.0479617E+001, 3.3668023E+001
 5.7001874E+001,-2.0000000E+000,-4.0000000E+000, 3.4842422E+001, 3.2226725E+001, 3.4748968E+001
 5.8012483E+001,-2.0000000E+000,-4.0000000E+000, 3.5141994E+001, 3.3179851E+001, 3.8561503E+001
 5.9008858E+001,-2.0000000E+000,-4.0000000E+000, 7.0769820E+001, 3.3755688E+001, 3.8500172E+001
 6.0005233E+001,-2.0000000E+000,-4.0000000E+000, 5.7633983E+001, 3.2546189E+001, 4.0052634E+001
 6.1001608E+001,-2.0000000E+000,-4.0000000E+000, 1.1617835E+002, 3.1283730E+001, 4.1177705E+001
 6.2012216E+001,-2.0000000E+000,-4.0000000E+000, 7.0957473E+001, 3.0092909E+001, 4.1702067E+001
 6.3008591E+001,-2.0000000E+000,-4.0000000E+000, 6.2930362E+001, 2.8527551E+001, 4.0235237E+001
 6.4004966E+001,-2.0000000E+000,-4.0000000E+000, 9.5138917E+001, 2.8782923E+001, 3.2546435E+001
 6.5001341E+001,-2.0000000E+000,-4.0000000E+000, 4.1756892E+001, 3.0688670E+001, 2.9893968E+001
 6.6011950E+001,-2.0000000E+000,-4.0000000E+000, 4.2020758E+001, 3.2076229E+001, 3.0999830E+001
 6.7008325E+001,-2.0000000E+000,-4.0000000E+000, 4.1711924E+001, 3.4521203E+001, 3.2808601E+001
 6.8004700E+001,-2.0000000E+000,-4.0000000E+000, 4.4139524E+001, 3.6825980E+001, 3.8043919E+001
 6.9001074E+001,-2.0000000E+000,-4.0000000E+000, 6.3433599E+001, 3.3588162E+001, 4.4266151E+001
 7.0011683E+001,-2.0000000E+000,-4.0000000E+000, 3.5364265E+001, 2.9976973E+001, 4.2452856E+001
 7.1008058E+001,-2.0000000E+000,-4.0000000E+000, 3.3545706E+001, 2.7072352E+001, 3.7082002E+001
 7.2004433E+001,-2.0000000E+000,-4.0000000E+000, 3.6932110E+001, 2.7147543E+001, 3.9001022E+001
 7.3000808E+001,-2.0000000E+000,-4.0000000E+000, 9.3139046E+001, 2.7088188E+001, 4.5066298E+001
 7.4011417E+001,-2.0000000E+000,-4.0000000E+000, 4.5062232E+001, 2.6662906E+001, 4.2989232E+001
 7.5007791E+001,-2.0000000E+000,-4.0000000E+000, 5.6999482E+001, 2.6123044E+001, 3.7646200E+001
 7.6004166E+001,-2.0000000E+000,-4.0000000E+000, 3.6990522E+001, 2.3625578E+001, 3.5503725E+001
 7.7000541E+001,-2.0000000E+000,-4.0000000E+000, 6.9970692E+001, 2.2194396E+001, 3.2451583E+001
 7.8011150E+001,-2.0000000E+000,-4.0000000E+000, 7.6305886E+001, 2.1239741E+001, 3.1413008E+001
 7.9007525E+001,-2.0000000E+000,-4.0000000E+000, 6.9787605E+001, 2.0983500E+001, 2.9151968E+001
 8.0003900E+001,-2.0000000E+000,-4.0000000E+000, 4.1492978E+001, 2.3345675E+001, 2.9223542E+001
 8.1000275E+001,-2.0000000E+000,-4.0000000E+000, 4.4921761E+001, 2.5227986E+001, 3.4745878E+001
 8.2010883E+001,-2.0000000E+000,-4.0000000E+000, 3.5442367E+001, 2.6742694E+001, 3.6965334E+001
 8.3007258E+001,-2.0000000E+000,-4.0000000E+000, 3.4341205E+001, 2.4591546E+001, 4.1955454E+001
 8.4003633E+001,-2.0000000E+000,-4.0000000E+000, 3.2432466E+001, 2.4554267E+001, 4.8743898E+001
 8.5000008E+001,-2.0000000E+000,-4.0000000E+000, 3.7533838E+001, 2.5533923E+001, 5.1807838E+001
 8.6010617E+001,-2.0000000E+000,-4.0000000E+000, 3.9878454E+001, 2.8258689E+001, 4.9191813E+001
 8.7006992E+001,-2.0000000E+000,-4.0000000E+000, 5.3247734E+001, 2.9068348E+001, 4.2393222E+001
