Stations,Address
MAYFIELD WEST Fire Station,"91 Industrial Drive, Mayfield West NSW 2304"
MEREWETHER Fire Station,"39 Llewellyn Street, Merewether NSW 2291"
MINMI Fire Station,"20 Woodford Street, Minmi NSW 2287"
MORISSET Fire Station,"68 Newcastle Street, Morisset NSW 2264"
NEWCASTLE Fire Station,"44 Union Street, Newcastle NSW 2300"
STOCKTON Fire Station,"36 Hereford Street, Stockton NSW 2295"
SWANSEA Fire Station,"10 Lake Road, Swansea NSW 2281"
TARRO Fire Station,"8 Eastern Avenue, Tarro NSW 2322"
TERALBA Fire Station,"54 William Street, Teralba NSW 2284"
TINGIRA HEIGHTS Fire Station,"70 Violet Town Road, Tingira Heights NSW 2290"
TORONTO Fire Station,"42 Mount Waring Road, Toronto NSW 2283"
WALLSEND Fire Station,"15 Summerhill Rd, Wallsend NSW 2287"
WANGI WANGI Fire Station,"26 Donnelly Road, Arcadia Vale NSW 2283"
HOLMESVILLE Fire Station,"56 Appletree Rd, Holmesville NSW 2286"
BATEAU BAY Fire Station,"4 Community Drive, Bateau Bay NSW 2261"
BERKELEY VALE Fire Station,"8 Craftsman Avenue, Berkeley Vale NSW 2261"
BUDGEWOI Fire Station,"80 Scenic Drive, Budgewoi NSW 2262"
DOYALSON Fire Station,"51-53 Pacific Highway, Doyalson NSW 2262"
GOSFORD Fire Station,"12 Brougham Street, Gosford (East) NSW 2250"
HAMLYN TERRACE Fire Station,"48 Minnesota Road, Hamlyn Terrace NSW 2259"
KARIONG Fire Station,"1 Central Coast Highway, Kariong NSW 2250"
SARATOGA Fire Station,"2 Rosemount Street, Saratoga NSW 2251"
TERRIGAL Fire Station,"7 Terrigal Drive, Terrigal NSW 2260"
THE ENTRANCE Fire Station,"24 Boondilla Road, The Entrance NSW 2261"
TOUKLEY Fire Station,"302 Main Road, Toukley NSW 2263"
UMINA Fire Station,"55-59 Trafalgar Ave, Umina NSW 2256"
WYOMING Fire Station,"2 Laycock Street, Wyoming NSW 2250"
WYONG Fire Station,"5 Hely Street, Wyong NSW 2259"
KINCUMBER Fire Station,"836 The Scenic Rd, Kincumber NSW 2251"
ABERMAIN Fire Station,"Cnr Cessnock Road & Charles Street, Abermain NSW 2326"
BELLBIRD Fire Station,"44 Ruby Street, Bellbird NSW 2325"
BRANXTON GRETA Fire Station,"2a Drinan Street, Branxton NSW 2335"
CESSNOCK Fire Station,"4 Edward Street, Cessnock NSW 2325"
DUNGOG Fire Station,"78 Lord Street, Dungog NSW 2420"
