s,mol/mol,mol/mol,mol/mol,mol/mol
Time,"CO_VolumeFraction00","CO_VolumeFraction01","CO_VolumeFraction02","CO_VolumeFraction03"
 1.8601760E+002, 1.3309397E-003, 1.3047928E-003, 1.3127731E-003, 1.2945705E-003
 1.8902602E+002, 1.3089600E-003, 1.3039680E-003, 1.3044211E-003, 1.2891028E-003
 1.9200495E+002, 1.3021126E-003, 1.2870318E-003, 1.3045173E-003, 1.2925307E-003
 1.9502254E+002, 1.3107748E-003, 1.2899165E-003, 1.3115275E-003, 1.2956578E-003
 1.9801998E+002, 1.3165316E-003, 1.2954229E-003, 1.3185273E-003, 1.2957390E-003
 2.0102768E+002, 1.3185552E-003, 1.2965475E-003, 1.3193048E-003, 1.3012876E-003
 2.0400151E+002, 1.3298195E-003, 1.2969192E-003, 1.3208048E-003, 1.2981693E-003
 2.0701982E+002, 1.3343335E-003, 1.3130098E-003, 1.3309747E-003, 1.3267002E-003
 2.1002255E+002, 1.3442762E-003, 1.3154718E-003, 1.3463535E-003, 1.3259167E-003
 2.1300575E+002, 1.3392357E-003, 1.3267198E-003, 1.3449400E-003, 1.3285901E-003
 2.1600622E+002, 1.3680212E-003, 1.3090836E-003, 1.3660308E-003, 1.3210039E-003
 2.1900891E+002, 1.3667480E-003, 1.3211168E-003, 1.3658419E-003, 1.3149452E-003
 2.2200409E+002, 1.3708078E-003, 1.3203730E-003, 1.3721911E-003, 1.3162915E-003
 2.2502373E+002, 1.3584231E-003, 1.3024693E-003, 1.3686818E-003, 1.3054132E-003
 2.2800432E+002, 1.3675371E-003, 1.3241740E-003, 1.3580262E-003, 1.3168670E-003
 2.3102593E+002, 1.3165268E-003, 1.2861387E-003, 1.3240495E-003, 1.2850436E-003
 2.3400617E+002, 1.3406845E-003, 1.3156539E-003, 1.3430662E-003, 1.3117806E-003
 2.3700343E+002, 1.3454532E-003, 1.3319900E-003, 1.3394744E-003, 1.3276454E-003
 2.4003106E+002, 1.3433359E-003, 1.3465724E-003, 1.3392623E-003, 1.3528077E-003
 2.4301386E+002, 1.3607806E-003, 1.3576689E-003, 1.3528294E-003, 1.3575294E-003
 2.4601693E+002, 1.3558874E-003, 1.3366775E-003, 1.3555405E-003, 1.3417473E-003
 2.4902421E+002, 1.3654239E-003, 1.3234242E-003, 1.3686776E-003, 1.3231936E-003
 2.5201806E+002, 1.3552323E-003, 1.3194492E-003, 1.3483317E-003, 1.3291043E-003
 2.5502757E+002, 1.3441904E-003, 1.3345315E-003, 1.3443194E-003, 1.3349168E-003
 2.5801997E+002, 1.3702808E-003, 1.3374393E-003, 1.3789779E-003, 1.3548818E-003
 2.6101593E+002, 1.3773280E-003, 1.3473005E-003, 1.3756995E-003, 1.3537566E-003
 2.6403742E+002, 1.3667889E-003, 1.3482328E-003, 1.3566445E-003, 1.3527030E-003
 2.6700342E+002, 1.3451972E-003, 1.3345583E-003, 1.3404926E-003, 1.3414205E-003
 2.7000584E+002, 1.3175425E-003, 1.2964419E-003, 1.3285167E-003, 1.3096470E-003
 2.7303527E+002, 1.3348253E-003, 1.3097971E-003, 1.3395482E-003, 1.3139932E-003
 2.7601918E+002, 1.3243500E-003, 1.3170409E-003, 1.3101043E-003, 1.3087688E-003
 2.7900148E+002, 1.3372680E-003, 1.2879680E-003, 1.3397407E-003, 1.2905021E-003
 2.8203930E+002, 1.2906923E-003, 1.2551210E-003, 1.2852545E-003, 1.2710324E-003
 2.8503336E+002, 1.3057580E-003, 1.2424363E-003, 1.3028553E-003, 1.2733257E-003
 2.8801707E+002, 1.2925473E-003, 1.2776319E-003, 1.3166131E-003, 1.3027104E-003
 2.9103005E+002, 1.3056014E-003, 1.3004593E-003, 1.3142536E-003, 1.3221121E-003
 2.9402665E+002, 1.3302517E-003, 1.3142626E-003, 1.3274192E-003, 1.3110112E-003
 2.9700607E+002, 1.3078475E-003, 1.2854114E-003, 1.3064811E-003, 1.2899803E-003
 3.0003899E+002, 1.3009970E-003, 1.2248454E-003, 1.3162992E-003, 1.2398533E-003
 3.0300110E+002, 1.2913613E-003, 1.2811443E-003, 1.3126842E-003, 1.3039726E-003
 3.0601604E+002, 1.2966742E-003, 1.2652875E-003, 1.3089912E-003, 1.2897312E-003
 3.0902932E+002, 1.2692073E-003, 1.1846746E-003, 1.2878125E-003, 1.2282887E-003
 3.1200053E+002, 1.2696863E-003, 1.2759840E-003, 1.2718438E-003, 1.2539508E-003
 3.1501344E+002, 1.2587389E-003, 1.2587560E-003, 1.2732813E-003, 1.2295961E-003
 3.1801179E+002, 1.2736946E-003, 1.2168131E-003, 1.2796827E-003, 1.2262625E-003
 3.2101877E+002, 1.2910560E-003, 1.2532937E-003, 1.2983908E-003, 1.2706202E-003
 3.2402091E+002, 1.3230548E-003, 1.3218092E-003, 1.3323410E-003, 1.3293764E-003
 3.2703453E+002, 1.3141717E-003, 1.3144704E-003, 1.3156572E-003, 1.3100382E-003
 3.3002968E+002, 1.2804270E-003, 1.2262832E-003, 1.2698650E-003, 1.1921318E-003
 3.3303725E+002, 1.2830023E-003, 1.2064572E-003, 1.2699576E-003, 1.2169384E-003
 3.3601174E+002, 1.2436718E-003, 1.2129953E-003, 1.2254979E-003, 1.2172772E-003
 3.3902082E+002, 1.2407943E-003, 1.2537609E-003, 1.2367809E-003, 1.2644535E-003
 3.4201331E+002, 1.2897458E-003, 1.3105181E-003, 1.3071106E-003, 1.3301173E-003
 3.4501297E+002, 1.3284486E-003, 1.3212791E-003, 1.3207536E-003, 1.3120323E-003
 3.4800399E+002, 1.2851906E-003, 1.2414511E-003, 1.2807066E-003, 1.2166422E-003
 3.5100393E+002, 1.2792975E-003, 1.2524532E-003, 1.2849499E-003, 1.2418176E-003
 3.5401963E+002, 1.3057113E-003, 1.3002880E-003, 1.3010193E-003, 1.2864353E-003
 3.5700740E+002, 1.2631884E-003, 1.2744206E-003, 1.2688140E-003, 1.2707151E-003
 3.6003689E+002, 1.2887870E-003, 1.2816806E-003, 1.2846085E-003, 1.2913151E-003
 3.6301717E+002, 1.2842932E-003, 1.2313535E-003, 1.2837066E-003, 1.2732062E-003
 3.6603161E+002, 1.2103088E-003, 1.2415719E-003, 1.2342234E-003, 1.2665596E-003
